Japanese,Hiragana,Kanji,English
ningen,にんげん,人間,human
jinrui,じんるい,人類,humanity 
hito,ひと,人,person
otoko,おとこ,男,male
otokonohito,おとこのひと,男の人,man
otokonoko,おとこのこ,男の子,boy
onna,おんな,女,female
onnanohito,おんなのひと,女の人,woman
onnanoko,おんなのこ,女の子,girl
akachan,あかちゃん,赤ちゃん,baby
wakamono,わかもの,若者,"youth, young person"
watashi,わたし,私,"I, myself"
watakushi,わたくし,私,"I, myself (formal)"
boku,ぼく,僕,"I, myself (male)"
ore,おれ,俺,"I, myself (male, informal)"
atashi,あたし,私,"I, myself (female)"
shoujo,しょうじょ,少女,girl
shounen,しょうねん,少年,boy
isha,いしゃ,医者,doctor
kangoshi,かんごし,看護師,nurse
kangofu,かんごふ,看護婦,female nurse
shikai,しかい,歯科医,dentist
ha-isha,はいしゃ,歯医者,dentist
seijika,せいじか,政治家,politician
bengoshi,べんごし,弁護士,lawyer
shouboushi,しょうぼうし,消防士,firefighter
keisatsukan,けいさつかん,警察官,police officer
heishi,へいし,兵士,soldier
kenchikuka,けんちくか,建築家,architect
sensei,せんせい,先生,teacher
kyoushi,きょうし,教師,(academic) teacher
kashu,かしゅ,歌手,singer
enjinia,エンジニア,-,engineer
ashi,あし,脚,foot
ashi,あし,足,leg
kakato,かかと,踵,heel
sune,すね,脛,shin
hiza,ひざ,膝,knee
momo,もも,腿,thigh
atama,あたま,頭,head
kao,かお,顔,face
kuchi,くち,口,mouth
kuchibiru,くちびる,唇,lips
ha,は,歯,tooth
hana,はな,鼻,nose
me,め,目,eye
hige,ひげ,髭,"moustache, beard"
kami,かみ,髪,hair
mimi,みみ,耳,ear
onaka,おなか,御腹,stomach
ude,うで,腕,arm
hiji,ひじ,肘,elbow
kata,かた,肩,shoulder
tsume,つめ,爪,nail
te,て,手,hand
tekubi,てくび,手首,wrist
te-no-hira,てのひら,手の平,palm of hand
yubi,ゆび,指,"finger, toe"
shiri,しり,尻,buttocks
o-naka,おなか,お腹,abdomen
o-naka,はら,腹,abdomen
kanzō,かんぞう,肝臓,liver
kimo,きも,肝,liver
kin'niku,きんにく,筋肉,muscle
kubi,くび,首,neck
kokoro,こころ,心,heart [as in feelings]
koshi,こし,腰,"waist, hip"
shinzō,しんぞう,心臓,heart
senaka,せなか,背中,back
chi,ち,血,blood
niku,にく,肉,meat
hada,はだ,肌,skin
hada,はだ,膚,skin
hifu,ひふ,皮膚,skin
hone,ほね,骨,bone
mune,むね,胸,chest
kaze,かぜ,風邪,cold [illness]
geri,げり,下痢,diarrhea
byōki,びょうき,病気,illness
kazoku,かぞく,家族,family
ryoushin,りょうしん,両親,parents
kodomo,こども,子供,"children, child"
chichi (otou-san),ちち,父 ,father
haha (okaa-san),はは,母,mother
tsuma,つま,妻,wife
otto,おっと,夫,husband
ani (onī-san),あに,兄,older brother
ane (onē-san),あね,姉,older sister
otōto,おとうと,弟,younger brother
imōto,いもうと,妹,younger sister
kyōdai,きょうだい,兄弟,"brothers, siblings"
shimai,しまい,姉妹,sisters
sofu (ojii-san),そふ,祖父,grandfather
sobo (obaa-san),そぼ,祖母,grandmother
mago,まご,孫,grandchild
oji (oji-san),おじ,伯父,uncle
oji (oji-san),おじ,叔父,uncle
oba (oba-san),おば,伯母,aunt
oba (oba-san),おば,叔母,aunt
itoko,いとこ,従兄弟,cousin
itoko,いとこ,従姉妹,cousin
itoko,いとこ,従兄,cousin
itoko,いとこ,従弟,cousin
itoko,いとこ,従姉,cousin
itoko,いとこ,従妹,cousin
mei,めい,姪,niece
oi,おい,甥,nephew
ikimono,いきもの,生き物,living creatures
bakemono,ばけもの,化け物,monster
dōbutsu,どうぶつ,動物,animal
chītā,チーター,-,cheetah
inu,いぬ,犬,dog
neko,ねこ,猫,cat
ushi,うし,牛,cow
buta,ぶた,豚,pig
uma,うま,馬,horse
hitsuji,ひつじ,羊,sheep
saru,さる,猿,monkey
nezumi,ねずみ,鼠,"mouse, rat"
tora,とら,虎,tiger
ōkami,オオカミ,狼,wolf
usagi,うさぎ,兎,rabbit
ryū,りゅう,竜,dragon
tatsu,たつ,竜,dragon
shika,しか,鹿,deer
kaeru,かえる,蛙,frog
gama,がま,蟇,toad
shishi,しし,獅子,lion
kirin,キリン,麒麟,giraffe
zō,ぞう,象,elephant
tori,とり,鳥,bird
niwatori,にわとり,鶏,chicken
suzume,すずめ,雀,sparrow
karasu,からす,烏,"crow, raven"
washi,わし,鷲,eagle
taka,たか,鷹,"hawk, falcon"
sakana,さかな,魚,fish
tai,たい,鯛,red snapper
ebi,えび,海老,"shrimp, lobster"
iwashi,いわし,鰯,sardine
maguro,まぐろ,鮪,tuna
katsuo,かつお,鰹,bonito
sanma,さんま,秋刀魚,pike
aji,あじ,鰺,horse mackerel
saba,さば,鯖,mackerel
ika,イカ,烏賊,squid
tako,タコ,章魚,octopus
tako,タコ,蛸,octopus
mushi,むし,虫,insect
chō,ちょう,蝶,butterfly
ga,ガ,蛾,moth
semi,せみ,蝉,cicada
tonbo,トンボ,蜻蛉,dragonfly
batta,バッタ,飛蝗,grasshopper
kumo,クモ,蜘蛛,spider
hotaru,ホタル,蛍,firefly
hae,ハエ,蝿,housefly
hae,ハエ,蠅,housefly
ka,カ,蚊,"mosquito, gnat"
gokiburi,ゴキブリ,蜚蠊,cockroach
katatsumuri,カタツムリ,蝸牛,snail
namekuji,ナメクジ,蛞蝓,slug
mimizu,ミミズ,蚯蚓,earthworm
kai,かい,貝,shellfish
kaigara,かいがら,貝殻,shell
tokage,トカゲ,蜥蜴,lizard
hebi,へび,蛇,snake
kuma,くま,熊,bear
